a	A|吖|呵|啊|嗄|腌|锕|阿	A|吖|呵|啊|嗄|腌|錒|阿
xieshanding	歇山顶	歇山頂
xieshang	协商	協商
xieshanghuiyi	协商会议	協商會議
xiesheng	写生|谐声	寫生|諧聲
xiesheqiu	斜射球	斜射球
xieshi	写实|斜视|谢世	寫實|斜視|謝世
xieshiyan	谢师宴	謝師宴
xieshou	写手|携手|歇手	寫手|攜手|歇手
xieshoubingjian	携手并肩	攜手並肩
xieshoutongxing	携手同行	攜手同行
xieshu	解数|邪术	解數|邪術
xieshuo	邪说	邪說
xiesi	写死	寫死
xiesidili	歇斯底里	歇斯底里
xiesifen	泄私愤	洩私憤
xiesu	歇宿	歇宿
xiesui	邪祟	邪祟
xieta	斜塔	斜塔
xietan	谐谈	諧談
xietang	斜躺	斜躺
xietao	卸套|鞋套	卸套|鞋套
xiete	谢特	謝特
xieti	斜体	斜體
xietianxiedi	谢天谢地	謝天謝地
xietianziyilingtianxia	挟天子以令天下	挾天子以令天下
xietianziyilingzhuhou	挟天子以令诸侯	挾天子以令諸侯
xietiao	协调	協調
xietiaoren	协调人	協調人
xietiaoshijieshi	协调世界时	協調世界時
xietiaoyuan	协调员	協調員
xietie	谢帖	謝帖
xietingfeng	谢霆锋	謝霆鋒
xietizi	斜体字	斜體字
xietong	偕同|协同	偕同|協同
xietongmen	谢通门	謝通門
xietongmenxian	谢通门县	謝通門縣
xietongzhuchiren	协同主持人	協同主持人
xietongzuoyong	协同作用	協同作用
xietou	卸头	卸頭
xietouying	斜投影	斜投影
xiewa	鞋袜	鞋襪
xiewan	写完|谐婉	寫完|諧婉
xiewei	些微	些微
xieweibolao	楔尾伯劳	楔尾伯勞
xieweigu	蟹味菇	蟹味菇
xieweilvjiu	楔尾绿鸠	楔尾綠鳩
xieweiou	楔尾鸥	楔尾鷗
xiewen	斜纹	斜紋
xiewenzhi	斜纹织	斜紋織
xiexi	械系|歇息|谐戏	械繫|歇息|諧戲
xiexia	写下|卸下	卸下|寫下
xiexian	斜线	斜線
xiexianhao	斜线号	斜線號
xiexiao	谢孝	謝孝
xiexie	泄泻|谢谢	泄瀉|洩瀉|謝謝
xiexin	写信|歇心|谢辛	寫信|歇心|謝辛
xiexinacu	挟细拿粗	挾細拿粗
xiexing	楔形|谐星	楔形|諧星
xiexingwenzi	楔形文字	楔形文字
xiexingwu	楔形物	楔形物
xiexu	些许	些許
xiexuan	鞋楦	鞋楦
xiexue	谐谑	諧謔
xieyan	斜眼|泻盐	斜眼|瀉鹽
xieyang	斜阳	斜陽
xieyankan	斜眼看	斜眼看
xieyao	泻药	瀉藥
xieye	歇业	歇業
xieyi	写意|协议|斜倚|解㑊|谢仪|谢意	協議|寫意|斜倚|解㑊|謝儀|謝意
xieyihua	写意画	寫意畫
xieyin	谐音	諧音
xieying	撷英	擷英
xieyingeng	谐音梗	諧音梗
xieyinlie	谐音列	諧音列
xieyishu	协议书	協議書
xieyou	燮友|鞋油	燮友|鞋油
xieyu	泄欲	洩慾
xieyuan	挟怨	挾怨
xieyue	协约	協約
xieyueguo	协约国	協約國
xieyugongju	泄欲工具	洩慾工具
xieyun	协韵|叶韵|血晕	協韻|叶韻|血暈
xiezai	卸载	卸載
xieze	卸责	卸責
xiezhao	写照|邪招	寫照|邪招
xiezhaolan	蟹爪兰	蟹爪蘭
xiezhen	写真|谐振	寫真|諧振
xiezhendong	谐振动	諧振動
xiezhenji	写真集	寫真集
xiezhenzi	谐振子	諧振子
xiezhi	卸职|挟制|獬豸|解廌	卸職|挾制|獬豸|解廌
xiezhigangkong	泄殖肛孔	泄殖肛孔
xiezhiqiang	泄殖腔	泄殖腔
xiezhixiejian	邪知邪见	邪知邪見
xiezhou	斜轴	斜軸
xiezhu	协助	協助
xiezhuang	卸妆|卸装	卸妝|卸裝
xiezhuangxingyun	蟹状星云	蟹狀星雲
xiezi	写字|楔子|蝎子|鞋子	寫字|楔子|蠍子|鞋子
xieziban	写字板	寫字板
xiezilou	写字楼	寫字樓
xiezitai	写字台	寫字檯
xiezou	协奏	協奏
xiezouqu	协奏曲	協奏曲
xiezui	谢罪	謝罪
xiezuiliaomei	楔嘴鹩鹛	楔嘴鷯鶥
xiezuo	写作|协作	協作|寫作
xifa	戏法	戲法
xifafen	洗发粉	洗髮粉
xifaji	洗发剂	洗髮劑
xifajing	洗发精	洗髮精
xifalu	洗发露	洗髮露
xifan	稀饭	稀飯
xifang	戏仿|系放|西方	戲仿|繫放|西方
xifangbinyu	西方滨鹬	西方濱鷸
xifangjileshijie	西方极乐世界	西方極樂世界
xifangmanaoyanbingdu	西方马脑炎病毒	西方馬腦炎病毒
xifangpao	西方狍	西方狍
xifangren	西方人	西方人
xifangsongji	西方松鸡	西方松雞
xifangyangji	西方秧鸡	西方秧雞
xifanlian	西番莲	西番蓮
xifanninggen	席凡宁根	席凡寧根
xifanyashu	西番雅书	西番雅書
xifaru	洗发乳	洗髮乳
xifashui	洗发水	洗髮水
xifashuir	洗发水儿	洗髮水兒
xifaye	洗发液	洗髮液
xifazao	洗发皂	洗髮皂
xifazhaozhi	夕发朝至	夕發朝至
xifei	矽肺|西非|西鲱	矽肺|西非|西鯡
xifeibing	矽肺病	矽肺病
xifen	吸粉|戏份|细分|细粉	吸粉|戲份|細分|細粉
xifeng	息烽|西丰|西峰|隙缝	息烽|西峰|西豐|隙縫
xifengqu	西峰区	西峰區
xifengxian	息烽县|西丰县	息烽縣|西豐縣
xifu	吸附|媳妇|惜福|西弗|西服	吸附|媳婦|惜福|西弗|西服
xifuaochengpo	媳妇熬成婆	媳婦熬成婆
xifuji	吸附剂	吸附劑
xifujiniya	西弗吉尼亚	西弗吉尼亞
xifur	媳妇儿	媳婦兒
xifuxing	吸附性	吸附性
xigai	膝盖	膝蓋
xigaigu	膝盖骨	膝蓋骨
xigan	喜感	喜感
xigangqu	西岗区	西崗區
xigao	洗稿	洗稿
xigejuyuan	喜歌剧院	喜歌劇院
xigema	西格玛|西格马	西格瑪|西格馬
xigemengde	西格蒙德	西格蒙德
xigesi	希格斯	希格斯
xigesibosezi	希格斯玻色子	希格斯玻色子
xigesijizhi	希格斯机制	希格斯機制
xigesilizi	希格斯粒子	希格斯粒子
xigong	西工|西贡|铣工	西工|西貢|銑工
xigongqu	西工区	西工區
xigou	洗沟	洗溝
xigu	溪谷|矽谷|硒鼓|西固	溪谷|矽谷|硒鼓|西固
xigua	西瓜	西瓜
xiguachong	西瓜虫	西瓜蟲
xiguan	习惯|吸管	吸管|習慣
xiguanchengziran	习惯成自然	習慣成自然
xiguanfa	习惯法	習慣法
xiguanruoziran	习惯若自然	習慣若自然
xiguanxing	习惯性	習慣性
xiguanyongfa	习惯用法	習慣用法
xiguanyongyu	习惯用语	習慣用語
xiguanziran	习惯自然	習慣自然
xigui	蠵龟	蠵龜
xiguqu	西固区	西固區
xiha	嘻哈	嘻哈
xihai	西海	西海
xihan	希罕|稀罕|西汉	希罕|稀罕|西漢
xihaner	喜憨儿	喜憨兒
xihanuke	西哈努克	西哈努克
xihao	喜好	喜好
xihaopouli	析毫剖厘	析毫剖釐
xihe	溪壑|细河|西和	溪壑|細河|西和
xiheiqian	洗黑钱	洗黑錢
xihequ	细河区	細河區
xihexian	西和县	西和縣
xihong	希洪	希洪
xihongjiaosun	西红脚隼	西紅腳隼
xihongjiaoxiao	西红角鸮	西紅角鴞
xihongshi	西红柿	西紅柿
xihu	溪湖|潟湖|西湖	溪湖|潟湖|西湖
xihua	细化|西华	細化|西華
xihuaguanli	细化管理	細化管理
xihuan	喜欢	喜歡
xihuang	恓惶	恓惶
xihuangcao	溪黄草	溪黃草
xihuangjiling	西黄鹡鸰	西黃鶺鴒
xihuangshangren	羲皇上人	羲皇上人
xihuating	西花厅	西花廳
xihuaxian	西华县	西華縣
xihulu	西葫芦	西葫蘆
xihun	锡婚	錫婚
xihuo	熄火	熄火
xihuote	锡霍特	錫霍特
xihuotealin	锡霍特·阿林	錫霍特·阿林
xihuotealinshanmai	锡霍特·阿林山脉	錫霍特·阿林山脈
xihuoteshanmai	锡霍特山脉	錫霍特山脈
xihuqu	溪湖区|西湖区	溪湖區|西湖區
xihuxiang	西湖乡	西湖鄉
xihuzhen	溪湖镇	溪湖鎮
xiji	吸积|希冀|袭击|西吉	吸積|希冀|襲擊|西吉
xijia	西甲	西甲
xijian	习见|息肩|溪涧	息肩|溪澗|習見
xijianchui	洗剪吹	洗剪吹
xijiang	西江	西江
xijiao	矽胶	矽膠
xijiaomanyan	细嚼慢咽	細嚼慢嚥
xijiashui	洗甲水	洗甲水
xijie	洗劫|细节	洗劫|細節
xijieji	洗洁剂	洗潔劑
xijiejing	洗洁精	洗潔精
xijieliangyuan	喜结良缘	喜結良緣
xijielianli	喜结连理	喜結連理
xijierqi	喜极而泣	喜極而泣
xijieyikong	洗劫一空	洗劫一空
xijin	吸尽|吸进|吸金|西晋|锡金	吸盡|吸進|吸金|西晉|錫金
xijing	吸睛|徯径|戏精|洗净|溪径|袭警|西经|蹊径	吸睛|徯徑|戲精|洗淨|溪徑|襲警|西經|蹊徑
xijingpian	矽晶片	矽晶片
xijingping	细颈瓶	細頸瓶
xijinping	习近平	習近平
xijiu	喜酒|细究	喜酒|細究
xijixian	西吉县	西吉縣
xijizhe	袭击者	襲擊者
xiju	喜剧|戏剧|锡剧	喜劇|戲劇|錫劇
xijuan	席卷	席捲
xijuhua	戏剧化	戲劇化
xijuhuarengeweichang	戏剧化人格违常	戲劇化人格違常
xijujia	戏剧家	戲劇家
xijun	细菌	細菌
xijunbingdu	细菌病毒	細菌病毒
xijunqun	细菌群	細菌群
xijunwuqi	细菌武器	細菌武器
xijunxingliji	细菌性痢疾	細菌性痢疾
xijunzhan	细菌战	細菌戰
xijuxing	戏剧性	戲劇性
xikan	细看	細看
xikang	西康	西康
xikangsheng	西康省	西康省
xike	稀客|锡克	稀客|錫克
xikeersiji	西科尔斯基	西科爾斯基
xikejiao	锡克教	錫克教
xikeliwu	细颗粒物	細顆粒物
xikou	吸口|溪口	吸口|溪口
xikouxiang	溪口乡	溪口鄉
xikuang	锡矿	錫礦
xila	希腊|西拉|锡蜡|锡镴	希臘|西拉|錫蠟|錫鑞
xilaian	西来庵	西來庵
xilaideng	喜来登	喜來登
xilairangwang	熙来攘往	熙來攘往
xilake	希拉克	希拉克
xilakusa	锡拉库萨	錫拉庫薩
xilali	希拉里	希拉里
xilalikelindun	希拉里·克林顿	希拉里·克林頓
xilan	稀烂|锡兰	稀爛|錫蘭
xilanhua	西兰花|西蓝花	西藍花|西蘭花
xilarui	希拉蕊	希拉蕊
xilawen	希腊文	希臘文
xilayazu	西拉雅族	西拉雅族
xilayu	希腊语	希臘語
xilazimu	希腊字母	希臘字母
xile	喜乐|席勒	喜樂|席勒
xileng	西冷	西冷
xili	吸力|喜力|洗礼|淅沥|犀利|细粒|西历	吸力|喜力|洗禮|淅瀝|犀利|細粒|西曆
xilian	洗炼|洗练|洗脸	洗煉|洗練|洗臉
xiliang	西凉	西涼
xilianpan	洗脸盘	洗臉盤
xilianpen	洗脸盆	洗臉盆
xiliantai	洗脸台	洗臉臺
xiliao	西辽	西遼
xilie	系列	系列
xiliepian	系列片	系列片
xilier	西里尔	西里爾
xilierzimu	西里尔字母	西里爾字母
xiliguangdang	稀里光当	稀里光當
xilihuala	唏哩哗啦|唏里哗啦|稀哩哗啦|稀里哗啦	唏哩嘩啦|唏里嘩啦|稀哩嘩啦|稀里嘩啦
xilihutu	稀里糊涂	稀裏糊塗
xilikang	矽利康	矽利康
xilin	西林	西林
xiling	西陵	西陵
xilingqu	西陵区	西陵區
xilinguole	锡林郭勒	錫林郭勒
xilinguolemeng	锡林郭勒盟	錫林郭勒盟
xilingxia	西陵峡	西陵峽
xilinhaote	锡林浩特	錫林浩特
xilinhaoteshi	锡林浩特市	錫林浩特市
xilinxian	西林县	西林縣
xiliu	吸留|溪流	吸留|溪流
xilixiya	西里西亚	西里西亞
xiluo	奚落|西螺	奚落|西螺
xiluodi	希罗底	希羅底
xiluosaibin	西洛赛宾	西洛賽賓
xiluozhen	西螺镇	西螺鎮
xilv	息率|洗绿	息率|洗綠
xilvceng	矽铝层	矽鋁層
xilvwang	希律王	希律王
xima	戏码	戲碼
ximalaya	喜马拉雅	喜馬拉雅
ximalayashan	喜马拉雅山	喜馬拉雅山
ximalayashanmai	喜马拉雅山脉	喜馬拉雅山脈
ximalayazhongdujuan	喜马拉雅中杜鹃	喜馬拉雅中杜鵑
ximanuo	禧玛诺	禧瑪諾
ximao	吸猫|细毛	吸貓|細毛
ximei	西梅	西梅
ximeiceng	矽镁层	矽鎂層
ximen	吸门|西门	吸門|西門
ximenbao	西门豹	西門豹
ximending	西门町	西門町
ximengjialabang	西孟加拉邦	西孟加拉邦
ximengpeileisi	希蒙·佩雷斯	希蒙·佩雷斯
ximengshusite	西蒙·舒斯特	西蒙·舒斯特
ximengsi	席梦思	席夢思
ximengwazuzizhixian	西盟佤族自治县	西盟佤族自治縣
ximengxian	西盟县	西盟縣
ximenqing	西门庆	西門慶
ximenzi	西门子	西門子
ximenzigongsi	西门子公司	西門子公司
ximi	细密|菥蓂|西米	細密|菥蓂|西米
ximian	洗面|西面	洗面|西面
ximiannai	洗面奶	洗面奶
ximianru	洗面乳	洗面乳
ximidelanzi	西米德兰兹	西米德蘭茲
ximidelanzijun	西米德兰兹郡	西米德蘭茲郡
ximie	熄灭	熄滅
ximilu	西米露	西米露
ximin	西敏	西敏
ximing	惜命	惜命
ximingti	细明体	細明體
ximiniao	吸蜜鸟	吸蜜鳥
ximodaoshi	细磨刀石	細磨刀石
ximu	细目	細目
xin	㐰|䜣|伈|伩|信|囟|心|忄|忻|新|昕|欣|歆|炘|焮|舋|芯|莘|薪|衅|辛|鑫|锌|镡|馨|𫷷	㐰|伈|伩|信|囟|廞|心|忄|忻|新|昕|欣|歆|炘|焮|舋|芯|莘|薪|訢|辛|釁|鋅|鐔|鑫|馨
xina	吸纳	吸納
xinai	吸奶|心爱|西乃|西奈	吸奶|心愛|西乃|西奈
xinaibandao	西奈半岛	西奈半島
xinaiqi	吸奶器	吸奶器
xinaishan	西乃山|西奈山	西乃山|西奈山
xinan	心安|新安|西南	心安|新安|西南
xinanbu	西南部	西南部
xinandaxue	西南大学	西南大學
xinanguanhua	西南官话	西南官話
xinanguanwenliuying	西南冠纹柳莺	西南冠紋柳鶯
xinanjiaotongdaxue	西南交通大学	西南交通大學
xinanlide	心安理得	心安理得
xinanlierfengmei	西南栗耳凤鹛	西南栗耳鳳鶥
xinanshenxian	心安神闲	心安神閑
xinanxian	新安县	新安縣
xinanya	西南亚	西南亞
xinanzhongshaqundao	西南中沙群岛	西南中沙群島
xinao	洗脑	洗腦
xinaoerliang	新奥尔良	新奧爾良
xinbaerhuyouqi	新巴尔虎右旗	新巴爾虎右旗
xinbaerhuzuoqi	新巴尔虎左旗	新巴爾虎左旗
xinban	心瓣|新版	心瓣|新版
xinbao	信报|心包	信報|心包
xinbaocaijingxinwen	信报财经新闻	信報財經新聞
xinbawei	辛巴威	辛巴威
xinbei	新北	新北
xinbeijie	新北界	新北界
xinbeiqu	新北区	新北區
xinbeishi	新北市	新北市
xinbeite	辛贝特	辛貝特
xinbi	信笔	信筆
xinbian	新编	新編
xinbiao	信标	信標
xinbing	心病|新兵	心病|新兵
xinbinmanzuzizhixian	新宾满族自治县	新賓滿族自治縣
xinbinxian	新宾县	新賓縣
xinbo	心搏	心搏
xinbolatuzhuyi	新柏拉图主义	新柏拉圖主義
xinbu	信步|辛布	信步|辛布
xinbuguo	信不过	信不過
xinbuliediandao	新不列颠岛	新不列顛島
xinbulunruike	新不伦瑞克	新不倫瑞克
xinbuzaiyan	心不在焉	心不在焉
xincai	心材|新蔡	心材|新蔡
xincaixian	新蔡县	新蔡縣
xinchai	信差	信差
xinchang	心肠|新昌	心腸|新昌
xinchangxian	新昌县	新昌縣
xinchanpintuijiehui	新产品推介会	新產品推介會
xinchao	新朝|新潮	新朝|新潮
xinchaopengpai	心潮澎湃	心潮澎湃
xinchendaixie	新陈代谢	新陳代謝
xincheng	忻城|新城	忻城|新城
xinchengbing	新城病	新城病
xinchengdiantai	新城电台	新城電台
xinchengqu	新城区	新城區
xinchengtu	新成土	新成土
xinchengxian	忻城县	忻城縣
xinchengxiang	新城乡	新城鄉
xinchishenwang	心驰神往	心馳神往
xinchong	新宠	新寵
xinchou	薪酬|辛丑	薪酬|辛丑
xinchoujiuhen	新愁旧恨	新愁舊恨
xinchoutiaoyue	辛丑条约	辛丑條約
xinchuan	薪传	薪傳
xinchulu	新出炉	新出爐
xinchun	新春	新春
xinchunjiajie	新春佳节	新春佳節
xinchusheng	新出生	新出生
xinci	新词	新詞
xincishouruan	心慈手软	心慈手軟
xincong	信从	信從
xincun	新村	新村
xincunbuman	心存不满	心存不滿
xincunhuaiyi	心存怀疑	心存懷疑
xindai	信贷	信貸
xindaiweiji	信贷危机	信貸危機
xindaiweiyuediaoqi	信贷违约掉期	信貸違約掉期
xindaiyanshengchanpin	信贷衍生产品	信貸衍生產品
xindalu	新大陆	新大陸
xindan	心胆	心膽
xindang	新党	新黨
xindangshenchi	心荡神驰	心蕩神馳
xindanjulie	心胆俱裂	心膽俱裂
xindao	信道	信道
xinde	心得	心得
xindean	心得安	心得安
xindeguo	信得过	信得過
xindeli	新德里	新德里
xindesheng	信德省	信德省
xindi	心地|心底|新低	心地|心底|新低
xindian	新店	新店
xindianganying	心电感应	心電感應
xindianshi	新店市	新店市
xindiantu	心电图	心電圖
xindianxi	新店溪	新店溪
xindijia	辛迪加	辛迪加
xinding	新丁	新丁
xindishanliang	心地善良	心地善良
xindong	心动	心動
xindongnv	心动女	心動女
xindongtu	心动图	心動圖
xindu	信都|心毒|新都	信都|心毒|新都
xinduan	衅端	釁端
xinduqiao	新都桥	新都橋
xinduqu	信都区|新都区	信都區|新都區
xindushoula	心毒手辣	心毒手辣
xinen	细嫩	細嫩
xinfan	心烦	心煩
xinfang	信访|心房|心防|新房	信訪|心房|心防|新房
xinfangchandong	心房颤动	心房顫動
xinfangju	信访局	信訪局
xinfanqizao	心烦气躁	心煩氣躁
xinfanyiluan	心烦意乱	心煩意亂
xinfatating	辛伐他汀	辛伐他汀
xinfei	心扉|心肺	心扉|心肺
xinfeifusushu	心肺复苏术	心肺復甦術
xinfendang	新芬党	新芬黨
xinfeng	信丰|信奉|信封|信风|新丰|新风|欣逢|薪俸	信奉|信封|信豐|信風|新豐|新風|欣逢|薪俸
xinfengxian	信丰县|新丰县	信豐縣|新豐縣
xinfengxiang	新丰乡	新豐鄉
xinfengxitong	新风系统	新風系統
xinfo	信佛	信佛
xinfu	信服|心服|心腹|忻府|新妇|欣弗	信服|心服|心腹|忻府|新婦|欣弗
xinfukoufu	心服口服	心服口服
xinfuqu	忻府区|新抚区	忻府區|新撫區
xinfuzhihuan	心腹之患	心腹之患
xing	㽮|侀|兴|刑|型|姓|婞|嬹|幸|形|性|悻|惺|擤|星|曐|杏|涬|煋|猩|皨|省|硎|腥|臖|荇|荥|莕|蛵|行|邢|醒|钘|铏|陉|饧|骍	㽮|侀|倖|刑|型|姓|婞|嬹|幸|形|性|悻|惺|擤|星|曐|杏|涬|滎|煋|猩|皨|省|硎|腥|臖|興|荇|莕|蛵|行|邢|醒|鈃|鉶|陘|餳|騂
xingai	性爱	性愛
xingan	兴安|刑案|心甘|心肝|新干	刑案|心甘|心肝|新幹|興安
xinganbaobei	心肝宝贝	心肝寶貝
xingang	新港	新港
xingangxiang	新港乡	新港鄉
xinganmeng	兴安盟	興安盟
xinganqingyuan	心甘情愿	心甘情願
xinganqu	兴安区	興安區
xinganshi	性暗示	性暗示
xinganxian	兴安县|新干县|新干线	新幹線|新幹縣|興安縣
xinganyunhe	兴安运河	興安運河
xingao	新高	新高
xingaoqiao	心高气傲	心高氣傲
xingbailizhebanjiushi	行百里者半九十	行百里者半九十
xingbake	星巴克	星巴克
xingban	兴办|型板|性伴|行板	型板|性伴|興辦|行板
xingbanlv	性伴侣	性伴侶
xingbaogu	杏鲍菇	杏鮑菇
xingbian	形变	形變
xingbiantai	性变态	性變態
xingbiao	星表	星表
xingbie	型别|性别	型別|性別
xingbiebi	性别比	性別比
xingbiejuese	性别角色	性別角色
xingbieqishi	性别歧视	性別歧視
xingbierentongzhangai	性别认同障碍	性別認同障礙
xingbin	兴宾	興賓
xingbing	兴兵|性病	性病|興兵
xingbingle	星冰乐	星冰樂
xingbinqu	兴宾区	興賓區
xingbiti	擤鼻涕	擤鼻涕
xingboguan	行波管	行波管
xingbu	刑部	刑部
xingbucongjing	行不从径	行不從徑
xingbugaixingzuobugaiming	行不改姓，坐不改名	行不改姓，坐不改名
xingbugengmingzuobugaixing	行不更名，坐不改姓	行不更名，坐不改姓
xingbuguyan	行不顾言	行不顧言
xingbutong	行不通	行不通
xingbuyoujing	行不由径	行不由徑
xingcai	型材|荇菜	型材|荇菜
xingcan	形参	形參
xingcao	行草	行草
xingcha	省察	省察
xingchang	刑场	刑場
xingchanye	性产业	性產業
xingche	行车	行車
xingchejiluyi	行车记录仪	行車記錄儀
xingchen	星辰	星辰
xingcheng	兴城|形成|行程	形成|興城|行程
xingchengceng	形成层	形成層
xingchengdan	行程单	行程單
xingchengshi	兴城市	興城市
xingchengshu	性成熟	性成熟
xingchi	星驰	星馳
xingchong	刑舂	刑舂
xingchongchong	兴冲冲	興沖沖
xingchongdong	性冲动	性衝動
xingchou	腥臭	腥臭
xingchuan	行船	行船
xingchuanbo	性传播	性傳播
xingci	行刺	行刺
xingcun	幸存	倖存
xingcunzhe	幸存者	倖存者
xingdanyingzhi	形单影只	形單影隻
xingdao	星岛|行道	星島|行道
xingdaoribao	星岛日报	星島日報
xingdaoshu	行道树	行道樹
xingdeng	星等	星等
xingdetong	行得通	行得通
xingdi	性地	性地
xingdong	行动	行動
xingdongbubian	行动不便	行動不便
xingdongdianhua	行动电话	行動電話
xingdongdianyuan	行动电源	行動電源
xingdongfangan	行动方案	行動方案
xingdonggangling	行动纲领	行動綱領
xingdongjihua	行动计划	行動計劃
xingdongju	行动剧	行動劇
xingdongyishu	行动艺术	行動藝術
xingdongyishujia	行动艺术家	行動藝術家
xingdongzhi	行动值	行動值
xingdongzhuangzhi	行动装置	行動裝置
xingdongzhuyi	行动主义	行動主義
xingdongziyou	行动自由	行動自由
xingdou	星斗	星斗
xingduanxun	性短讯	性短訊
xingdukushi	兴都库什	興都庫什
xinge	信鸽|辛格	信鴿|辛格
xingelun	性恶论	性惡論
xingen	心根	心根
xingeng	心梗	心梗
xinger	幸而	幸而
xingerdai	星二代	星二代
xingershangxue	形而上学	形而上學
xingfa	刑法|刑罚	刑法|刑罰
xingfang	刑房|行房	刑房|行房
xingfen	兴奋	興奮
xingfengaochao	兴奋高潮	興奮高潮
xingfengxueyu	腥风血雨	腥風血雨
xingfengzuolang	兴风作浪	興風作浪
xingfenji	兴奋剂	興奮劑
xingfu	幸福|形符|性福	幸福|形符|性福
xingfuwu	性服务	性服務
xingfuwuchanye	性服务产业	性服務產業
xingfuxue	幸福学	幸福學
xinggan	性感	性感
xinggaocailie	兴高彩烈|兴高采烈	興高彩烈|興高采烈
xinggaochao	性高潮	性高潮
xingge	性格	性格
xinggebuhe	性格不合	性格不合
xinggong	行宫	行宮
xinggongzuo	性工作	性工作
xinggongzuozhe	性工作者	性工作者
xinggou	性媾	性媾
xingguan	星官	星官
xingguang	星光	星光
xingguanxi	性关系	性關係
xingguo	兴国	興國
xingguoxian	兴国县	興國縣
xinghai	兴海|形骸	形骸|興海
xinghaixian	兴海县	興海縣
xinghaizhengba	星海争霸	星海爭霸
xinghan	星汉	星漢
xinghao	型号|幸好|星号|行好	型號|幸好|星號|行好
xinghe	兴和|形核	形核|興和
xinghexian	兴和县	興和縣
xinghong	猩红	猩紅
xinghongre	猩红热	猩紅熱
xinghongse	猩红色	猩紅色
xinghua	兴化|猩化	猩化|興化
xinghuacun	杏花村	杏花村
xinghualing	杏花岭	杏花嶺
xinghualingqu	杏花岭区	杏花嶺區
xinghuanxiang	性幻想	性幻想
xinghuashi	兴化市	興化市
xinghui	兴会|幸会|行会|行贿	幸會|興會|行會|行賄
xinghuilu	性贿赂	性賄賂
xinghun	形婚	形婚
xinghuo	星火|醒豁	星火|醒豁
xinghuoban	性伙伴	性伙伴
xingji	形迹|性急|星级|星际|行迹	形跡|性急|星級|星際|行跡
xingjia	星家	星家
xingjiabi	性价比	性價比
xingjian	兴建	興建
xingjiang	行将	行將
xingjianggaoqing	行将告罄	行將告罄
xingjianghaishixingwang	姓蒋还是姓汪	姓蔣還是姓汪
xingjiangjieshu	行将结束	行將結束
xingjiangjiumu	行将就木	行將就木
xingjiankang	性健康	性健康
xingjiao	性交|行脚	性交|行腳
xingjiaogaochao	性交高潮	性交高潮
xingjiaoyi	性交易	性交易
xingjiaoyu	性教育	性教育
xingjibing	性疾病	性疾病
xingjidazhan	星际大战	星際大戰
xingjiechu	性接触	性接觸
xingjilvxing	星际旅行	星際旅行
xingjin	兴尽|幸进|行进	幸進|興盡|行進
xingjindang	行进挡	行進擋
xingjing	刑警|行径|行经	刑警|行徑|行經
xingjinji	性禁忌	性禁忌
xingjisu	性激素	性激素
xingjiu	醒酒	醒酒
xingjiuling	行酒令	行酒令
xingjizhengba	星际争霸	星際爭霸
xingju	刑具|刑拘|行拘	刑具|刑拘|行拘
xingjun	行军	行軍
xingjunchuang	行军床	行軍床
xingjunli	行军礼	行軍禮
xingkaicipangpi	兴凯刺鳑鲏	興凱刺鰟鮍
xingke	行客	行客
xingkong	星空	星空
xingkuaigan	性快感	性快感
xingkui	幸亏	幸虧
xinglai	醒来	醒來
xingle	性乐	性樂
xingleiqi	性蕾期	性蕾期
xinglengdan	性冷淡	性冷淡
xinglenggan	性冷感	性冷感
xingli	星历|行李|行礼	星曆|行李|行禮
xinglibanyungong	行李搬运工	行李搬運工
xinglichuansongdai	行李传送带	行李傳送帶
xinglichubi	兴利除弊	興利除弊
xinglidai	行李袋	行李袋
xinglifang	行李房	行李房
xinglijia	行李架	行李架
xinglin	杏林	杏林
xingling	行令	行令
xinglinqu	杏林区	杏林區
xinglipiao	行李票	行李票
xingliruyi	行礼如仪	行禮如儀
xingliudianji	星流电击	星流電擊
xingliutingji	星流霆击	星流霆擊
xinglixiang	行李箱	行李箱
xingliyuan	行李员	行李員
xinglong	兴隆	興隆
xinglongtai	兴隆台	興隆臺
xinglongtaiqu	兴隆台区	興隆臺區
xinglongxian	兴隆县	興隆縣
xinglu	刑戮|型录|行路	刑戮|型錄|行路
xingluoqibu	星罗棋布	星羅棋布
xinglv	刑律|行旅	刑律|行旅
xingma	星马	星馬
xingman	刑满	刑滿
xingmanzu	性满足	性滿足
xingmao	形貌	形貌
xingmatai	星马泰	星馬泰
xingmian	幸免|醒面|饧面	倖免|醒麵|餳麵
xingmiejijue	兴灭继绝	興滅繼絕
xingming	刑名|姓名|性命|星名	刑名|姓名|性命|星名
xingmingjia	星命家	星命家
xingmingyouguan	性命攸关	性命攸關
xingmingzhixue	刑名之学	刑名之學
xingmu	醒目	醒目
xingnan	型男	型男
xingnang	行囊	行囊
xingneng	性能	性能
xingning	兴宁	興寧
xingningqu	兴宁区	興寧區
xingningshi	兴宁市	興寧市
xingnvedai	性虐待	性虐待
xingpan	星盘	星盤
xingpang	形旁	形旁
xingpi	性癖	性癖
xingpian	行骗	行騙
xingpianhao	性偏好	性偏好
xingping	兴平	興平
xingpingshi	兴平市	興平市
xingqi	兴起|刑期|性器|星期|行乞|行期	刑期|性器|星期|興起|行乞|行期
xingqie	行窃|行箧	行竊|行篋
xingqier	星期二	星期二
xingqiguan	性器官	性器官
